nedele    , pondeli
07.04.1901, 08.04.1901
30.03.1902, 31.03.1902
12.04.1903, 13.04.1903
03.04.1904, 04.04.1904
23.04.1905, 24.04.1905
15.04.1906, 16.04.1906
31.03.1907, 01.04.1907
19.04.1908, 20.04.1908
11.04.1909, 12.04.1909
27.03.1910, 28.03.1910
16.04.1911, 17.04.1911
07.04.1912, 08.04.1912
23.03.1913, 24.03.1913
12.04.1914, 13.04.1914
04.04.1915, 05.04.1915
23.04.1916, 24.04.1916
08.04.1917, 09.04.1917
31.03.1918, 01.04.1918
20.04.1919, 21.04.1919
04.04.1920, 05.04.1920
27.03.1921, 28.03.1921
16.04.1922, 17.04.1922
01.04.1923, 02.04.1923
20.04.1924, 21.04.1924
12.04.1925, 13.04.1925
04.04.1926, 05.04.1926
17.04.1927, 18.04.1927
08.04.1928, 09.04.1928
31.03.1929, 01.04.1929
20.04.1930, 21.04.1930
05.04.1931, 06.04.1931
27.03.1932, 28.03.1932
16.04.1933, 17.04.1933
01.04.1934, 02.04.1934
21.04.1935, 22.04.1935
12.04.1936, 13.04.1936
28.03.1937, 29.03.1937
17.04.1938, 18.04.1938
09.04.1939, 10.04.1939
24.03.1940, 25.03.1940
13.04.1941, 14.04.1941
05.04.1942, 06.04.1942
25.04.1943, 26.04.1943
09.04.1944, 10.04.1944
01.04.1945, 02.04.1945
21.04.1946, 22.04.1946
06.04.1947, 07.04.1947
28.03.1948, 29.03.1948
17.04.1949, 18.04.1949
09.04.1950, 10.04.1950
25.03.1951, 26.03.1951
13.04.1952, 14.04.1952
05.04.1953, 06.04.1953
18.04.1954, 19.04.1954
10.04.1955, 11.04.1955
01.04.1956, 02.04.1956
21.04.1957, 22.04.1957
06.04.1958, 07.04.1958
29.03.1959, 30.03.1959
17.04.1960, 18.04.1960
02.04.1961, 03.04.1961
22.04.1962, 23.04.1962
14.04.1963, 15.04.1963
29.03.1964, 30.03.1964
18.04.1965, 19.04.1965
10.04.1966, 11.04.1966
26.03.1967, 27.03.1967
14.04.1968, 15.04.1968
06.04.1969, 07.04.1969
29.03.1970, 30.03.1970
11.04.1971, 12.04.1971
02.04.1972, 03.04.1972
22.04.1973, 23.04.1973
14.04.1974, 15.04.1974
30.03.1975, 31.03.1975
18.04.1976, 19.04.1976
10.04.1977, 11.04.1977
26.03.1978, 27.03.1978
15.04.1979, 16.04.1979
06.04.1980, 07.04.1980
19.04.1981, 20.04.1981
11.04.1982, 12.04.1982
03.04.1983, 04.04.1983
22.04.1984, 23.04.1984
07.04.1985, 08.04.1985
30.03.1986, 31.03.1986
19.04.1987, 20.04.1987
03.04.1988, 04.04.1988
26.03.1989, 27.03.1989
15.04.1990, 16.04.1990
31.03.1991, 01.04.1991
19.04.1992, 20.04.1992
11.04.1993, 12.04.1993
03.04.1994, 04.04.1994
16.04.1995, 17.04.1995
07.04.1996, 08.04.1996
30.03.1997, 31.03.1997
12.04.1998, 13.04.1998
04.04.1999, 05.04.1999
23.04.2000, 24.04.2000
15.04.2001, 16.04.2001
31.03.2002, 01.04.2002
20.04.2003, 21.04.2003
11.04.2004, 12.04.2004
27.03.2005, 28.03.2005
16.04.2006, 17.04.2006
08.04.2007, 09.04.2007
23.03.2008, 24.03.2008
12.04.2009, 13.04.2009
04.04.2010, 05.04.2010
24.04.2011, 25.04.2011
08.04.2012, 09.04.2012
31.03.2013, 01.04.2013
20.04.2014, 21.04.2014
05.04.2015, 06.04.2015
27.03.2016, 28.03.2016
16.04.2017, 17.04.2017
01.04.2018, 02.04.2018
21.04.2019, 22.04.2019
12.04.2020, 13.04.2020
04.04.2021, 05.04.2021
